,Outils FR,,Code,Code icône,,Tools EN,,Code,,Herramientas ES,,Codigo,,Werkzeuge DE,,Code,,Attrezzi IT,,Codice
,Bac de récupération (facultatif),,T50,IT49,,Liquid collector (optional),,,,Cubeta de recuperación (opcional),,,,Auffangbehälter (optional),,,,Contenitore per recupero liquidi (facoltativo),,
,Marteau,,T51,IT51,,Hammer,,,,Martillo,,,,Hammer,,,,Martello,,
,Brosse métallique,,T52,IT52,,Wire brush,,,,Cepillo metálico,,,,Metallbürste,,,,Spazzola metallica,,
,Fil de fer électrique,,T53,IT53,,Iron wire,,,,Cable de hierro o eléctrico,,,,Eisendraht,,,,Fil di ferro elettrico,,
,Té de force,,T54,IT54,,T-handle wrench,,,,Llave en T,,,,T-Schlüssel,,,,Chiave a T,,
,Démonte-pneu,,T55,IT55,,Tyre changer,,,,Cambiador de neumáticos,,,,Reifenentferner,,,,Smonta-pneumatici,,
,Verre doseur,,T56,IT56,,Measuring cup,,,,Vaso dosificador,,,,Dosierglas,,,,Vaso dosatore,,
,Verre doseur (facultatif),,T57,IT56,,Measuring cup (optional),,,,Vaso dosificador (opcional),,,,Dosierglas (optional),,,,Vaso dosatore (facoltativo),,
,Joint de bouchon de vidange,,T58,IT58,,Drain seal,,,,Junta del tapón de vaciado,,,,Ölstopfendichtung,,,,Guarnizione del tappo per lo scolo,,
,Chiffon,,T59,IT59,,Piece of tissue,,,,Trapo,,,,Putzlappen,,,,Straccio,,
,Entonnoir,,T60,IT60,,Funnel,,,,Embudo,,,,Trichter,,,,Imbuto,,
,Carré de vidange,,T12,IT61,,Oil service spanner,,,,Llave cuadrada,,,,Ölablassschlüssel,,,,Chiave per il cambio olio,,
,Cardan,,T62,IT62,,Gimbal,,,,Cardán ,,,,Tragrahmen,,,,Cardano,,
,Essuie-tout,,T63,IT63,,Paper towel,,,,Papel de cocina,,,,Haushaltspapier,,,,Carta assorbente,,
,Rallonge,,T64,IT64,,Extender,,,,Alargador,,,,Verlängerung,,,,Prolunga,,
,Papier à poncer,,T65,IT65,,Sanding paper,,,,Papel de lija ,,,,Schleifpapier,,,,Carta vetrata,,
,Papier à poncer (facultatif),,T66,IT65,,Sanding paper (optional),,,,Papel de lija (opcional),,,,Schleifpapier (optional),,,,Carta vetrata (facoltativa),,
,Aiguilles pour poste-radio,,T67,IT67,,Radio needles,,,,Agujas de la radio,,,,Nadel zum Ein-/Ausbau von Autoradios,,,,Aghi per l'autoradio,,
,Adaptateur d'antenne,,T68,IT68,,Antenna adapter,,,,Adaptador de antena,,,,Antennenadapter,,,,Adattatore per l'antenna,,
,Balai,,T69,IT69,,Broom,,,,Escoba,,,,Besen,,,,Scopa,,
